MATERIAL_NO,MANUFACTURER_NAME_1,MANUFACTURER_PT_NO_1,NOUN_ENGLISH,MODIFIER_ENGLISH,DomainName
1308286,,0241920,,,Fastenal
60088876,,NBB2-8GM25-E2-V3,,,AlliedElec
1015091,,XUX0ARCTT16T,,,RS-Online
