,MATERIAL_NO,MANUFACTURER_NAME_1,MANUFACTURER_PT_NO_1,NOUN_ENGLISH,MODIFIER_ENGLISH,Keywords,Search_URL,URL
18,1007487,BWIP/FLOWSERVE PUMP GROUP,668783SL,FACE,,BWIP%2FLOWSERVE PUMP GROUP+668783SL+FACE,{'Grainger': 'https://www.grainger.com/search?searchBar=true&searchQuery=BWIP%2FLOWSERVE PUMP GROUP+668783SL+FACE'},https://www.grainger.com/search?searchBar=true&searchQuery=BWIP%2FLOWSERVE PUMP GROUP+668783SL+FACE
19,1007495,BWIP/FLOWSERVE PUMP GROUP,668799SL,FACE,,BWIP%2FLOWSERVE PUMP GROUP+668799SL+FACE,{'Grainger': 'https://www.grainger.com/search?searchBar=true&searchQuery=BWIP%2FLOWSERVE PUMP GROUP+668799SL+FACE'},https://www.grainger.com/search?searchBar=true&searchQuery=BWIP%2FLOWSERVE PUMP GROUP+668799SL+FACE
20,1007499,BWIP/FLOWSERVE SEAL GROUP,4R37227GR,GASKET,,BWIP%2FLOWSERVE SEAL GROUP+4R37227GR+GASKET,{'MotionIndustries': 'https://www.motionindustries.com/productCatalogSearch.jsp?q=BWIP%2FLOWSERVE SEAL GROUP+4R37227GR+GASKET'},https://www.motionindustries.com/productCatalogSearch.jsp?q=BWIP%2FLOWSERVE SEAL GROUP+4R37227GR+GASKET
21,1007502,BWIP/FLOWSERVE PUMP GROUP,670754QF,GASKET,,BWIP%2FLOWSERVE PUMP GROUP+670754QF+GASKET,{'Grainger': 'https://www.grainger.com/search?searchBar=true&searchQuery=BWIP%2FLOWSERVE PUMP GROUP+670754QF+GASKET'},https://www.grainger.com/search?searchBar=true&searchQuery=BWIP%2FLOWSERVE PUMP GROUP+670754QF+GASKET
22,1007503,DEAN PUMP DIV,158038KY,SLEEVE,,DEAN PUMP DIV+158038KY+SLEEVE,{'MotionIndustries': 'https://www.motionindustries.com/productCatalogSearch.jsp?q=DEAN PUMP DIV+158038KY+SLEEVE'},https://www.motionindustries.com/productCatalogSearch.jsp?q=DEAN PUMP DIV+158038KY+SLEEVE
23,1007504,BWIP/FLOWSERVE PUMP GROUP,671010QF,GASKET,,BWIP%2FLOWSERVE PUMP GROUP+671010QF+GASKET,{'MotionIndustries': 'https://www.motionindustries.com/productCatalogSearch.jsp?q=BWIP%2FLOWSERVE PUMP GROUP+671010QF+GASKET'},https://www.motionindustries.com/productCatalogSearch.jsp?q=BWIP%2FLOWSERVE PUMP GROUP+671010QF+GASKET
24,1007505,BWIP/FLOWSERVE PUMP GROUP,667228DB,GASKET,,BWIP%2FLOWSERVE PUMP GROUP+667228DB+GASKET,{'MotionIndustries': 'https://www.motionindustries.com/productCatalogSearch.jsp?q=BWIP%2FLOWSERVE PUMP GROUP+667228DB+GASKET'},https://www.motionindustries.com/productCatalogSearch.jsp?q=BWIP%2FLOWSERVE PUMP GROUP+667228DB+GASKET
25,1007509,BWIP/FLOWSERVE PUMP GROUP,668805SL,FACE,,BWIP%2FLOWSERVE PUMP GROUP+668805SL+FACE,{'Grainger': 'https://www.grainger.com/search?searchBar=true&searchQuery=BWIP%2FLOWSERVE PUMP GROUP+668805SL+FACE'},https://www.grainger.com/search?searchBar=true&searchQuery=BWIP%2FLOWSERVE PUMP GROUP+668805SL+FACE
26,1007520,BWIP/FLOWSERVE PUMP GROUP,668825LV,FACE,,BWIP%2FLOWSERVE PUMP GROUP+668825LV+FACE,{'Grainger': 'https://www.grainger.com/search?searchBar=true&searchQuery=BWIP%2FLOWSERVE PUMP GROUP+668825LV+FACE'},https://www.grainger.com/search?searchBar=true&searchQuery=BWIP%2FLOWSERVE PUMP GROUP+668825LV+FACE
27,1007539,BWIP/FLOWSERVE PUMP GROUP,4375X3375X006,GASKET,,BWIP%2FLOWSERVE PUMP GROUP+4375X3375X006+GASKET,{'MotionIndustries': 'https://www.motionindustries.com/productCatalogSearch.jsp?q=BWIP%2FLOWSERVE PUMP GROUP+4375X3375X006+GASKET'},https://www.motionindustries.com/productCatalogSearch.jsp?q=BWIP%2FLOWSERVE PUMP GROUP+4375X3375X006+GASKET
